Lift Mean,Drag Mean,Phase Angle,Velocity,AOA
0.0950473939393942,1.51611309090909,280,12,0
0.207402666666667,1.60376504166667,320,12,0
0.307498366666667,1.40976173333333,360,12,0
0.43697893181818,0.70670259090909,40,12,0
0.00242611764705883,0.126160058823529,80,12,0
0.286820238095238,1.31233438095238,0,14,0
-0.48675,0.391716615384616,120,14,0
-0.406659707317073,1.06046756097561,160,14,0
-0.333750176470588,1.65728247058823,200,14,0
-0.1087647,2.14383345,240,14,0
0.0905512916666667,2.37292116666667,280,14,0
0.063422375,2.1423336875,320,14,0
0.182594794871795,1.72433123076923,360,14,0
0.0550011034482758,0.506248206896552,40,14,0
-0.2470125,0.0937154,80,14,0
0.273210874999999,0.238199666666667,0,6,0
0.235470607594937,0.154929848101265,120,6,0
0.195108172413793,0.196733275862069,160,6,0
0.203602468750001,0.213090375,200,6,0
0.247539357142857,0.275852428571428,240,6,0
0.32687521875,0.357397125,280,6,0
0.41606404347826,0.479403739130435,320,6,0
0.44264330952381,0.483633666666666,360,6,0
0.383665758620689,0.347905206896553,40,6,0
0.309933375,0.18030325,80,6,0
0.546062481481481,0.692629851851853,0,7,0
0.356242228571429,0.303825542857143,120,7,0
0.297482625,0.37466075,160,7,0
0.259350633333333,0.397676366666666,200,7,0
0.273850466666666,0.457577600000001,240,7,0
0.326461,0.53346911764706,280,7,0
0.447094425000001,0.67387025,320,7,0
0.533974903225806,0.700849193548386,360,7,0
0.561677804878049,0.639266609756099,40,7,0
0.474738792452831,0.457632698113208,80,7,0
0.379118476190476,0.647372761904763,0,8,0
0.257259230769231,0.253484653846154,120,8,0
0.182382875,0.390987666666667,160,8,0
0.159262347826087,0.462063826086957,200,8,0
0.210348137931034,0.621958724137932,240,8,0
0.379129794117647,0.909691705882354,280,8,0
0.43941775,0.942119708333333,320,8,0
0.469903439024391,0.845764292682927,360,8,0
0.432700428571429,0.588864285714286,40,8,0
0.403306592592592,0.471517777777779,80,8,0
0.605022780000001,1.05576474,0,9,0
0.326709636363637,0.464340393939395,120,9,0
0.207597095238095,0.490284761904762,160,9,0
0.18887804,0.642033600000001,200,9,0
0.21740136,0.7868828,240,9,0
